"sentence_id","kalimat","token","bio_tag"
14,"spot foto bagus, cocok untuk keluarga","spot","B-CLAUSE"
14,"spot foto bagus, cocok untuk keluarga","foto","I-CLAUSE"
14,"spot foto bagus, cocok untuk keluarga","bagus","I-CLAUSE"
14,"spot foto bagus, cocok untuk keluarga",",","O"
14,"spot foto bagus, cocok untuk keluarga","cocok","B-CLAUSE"
14,"spot foto bagus, cocok untuk keluarga","untuk","I-CLAUSE"
14,"spot foto bagus, cocok untuk keluarga","keluarga","I-CLAUSE"
15,"warung makan tersedia tetapi menu terbatas","warung","B-CLAUSE"
15,"warung makan tersedia tetapi menu terbatas","makan","I-CLAUSE"
15,"warung makan tersedia tetapi menu terbatas","tersedia","I-CLAUSE"
15,"warung makan tersedia tetapi menu terbatas","tetapi","O"
15,"warung makan tersedia tetapi menu terbatas","menu","B-CLAUSE"
15,"warung makan tersedia tetapi menu terbatas","terbatas","I-CLAUSE"
16,"kolam renang bersih, air dingin dan segar","kolam","B-CLAUSE"
16,"kolam renang bersih, air dingin dan segar","renang","I-CLAUSE"
16,"kolam renang bersih, air dingin dan segar","bersih","I-CLAUSE"
16,"kolam renang bersih, air dingin dan segar",",","O"
16,"kolam renang bersih, air dingin dan segar","air","B-CLAUSE"
16,"kolam renang bersih, air dingin dan segar","dingin","I-CLAUSE"
16,"kolam renang bersih, air dingin dan segar","dan","O"
16,"kolam renang bersih, air dingin dan segar","segar","B-CLAUSE"
17,"jalan menanjak namun pemandangan indah","jalan","B-CLAUSE"
17,"jalan menanjak namun pemandangan indah","menanjak","I-CLAUSE"
17,"jalan menanjak namun pemandangan indah","namun","O"
17,"jalan menanjak namun pemandangan indah","pemandangan","B-CLAUSE"
17,"jalan menanjak namun pemandangan indah","indah","I-CLAUSE"
18,"hotel nyaman tetapi wifi lambat","hotel","B-CLAUSE"
18,"hotel nyaman tetapi wifi lambat","nyaman","I-CLAUSE"
18,"hotel nyaman tetapi wifi lambat","tetapi","O"
18,"hotel nyaman tetapi wifi lambat","wifi","B-CLAUSE"
18,"hotel nyaman tetapi wifi lambat","lambat","I-CLAUSE"
19,"pantai bersih namun ombak tinggi","pantai","B-CLAUSE"
19,"pantai bersih namun ombak tinggi","bersih","I-CLAUSE"
19,"pantai bersih namun ombak tinggi","namun","O"
19,"pantai bersih namun ombak tinggi","ombak","B-CLAUSE"
19,"pantai bersih namun ombak tinggi","tinggi","I-CLAUSE"
20,"ruangan luas, sejuk tetapi gelap","ruangan","B-CLAUSE"
20,"ruangan luas, sejuk tetapi gelap","luas","I-CLAUSE"
20,"ruangan luas, sejuk tetapi gelap",",","O"
20,"ruangan luas, sejuk tetapi gelap","sejuk","B-CLAUSE"
20,"ruangan luas, sejuk tetapi gelap","tetapi","O"
20,"ruangan luas, sejuk tetapi gelap","gelap","B-CLAUSE"
21,"kebun luas dan hijau","kebun","B-CLAUSE"
21,"kebun luas dan hijau","luas","I-CLAUSE"
21,"kebun luas dan hijau","dan","O"
21,"kebun luas dan hijau","hijau","B-CLAUSE"
22,"transportasi mudah namun biaya tinggi","transportasi","B-CLAUSE"
22,"transportasi mudah namun biaya tinggi","mudah","I-CLAUSE"
22,"transportasi mudah namun biaya tinggi","namun","O"
22,"transportasi mudah namun biaya tinggi","biaya","B-CLAUSE"
22,"transportasi mudah namun biaya tinggi","tinggi","I-CLAUSE"
23,"kamar bersih, kasur empuk tetapi ac rusak","kamar","B-CLAUSE"
23,"kamar bersih, kasur empuk tetapi ac rusak","bersih","I-CLAUSE"
23,"kamar bersih, kasur empuk tetapi ac rusak",",","O"
23,"kamar bersih, kasur empuk tetapi ac rusak","kasur","B-CLAUSE"
23,"kamar bersih, kasur empuk tetapi ac rusak","empuk","I-CLAUSE"
23,"kamar bersih, kasur empuk tetapi ac rusak","tetapi","O"
23,"kamar bersih, kasur empuk tetapi ac rusak","ac","B-CLAUSE"
23,"kamar bersih, kasur empuk tetapi ac rusak","rusak","I-CLAUSE"
24,"gunung tinggi dan menantang","gunung","B-CLAUSE"
24,"gunung tinggi dan menantang","tinggi","I-CLAUSE"
24,"gunung tinggi dan menantang","dan","O"
24,"gunung tinggi dan menantang","menantang","B-CLAUSE"
25,"pintu masuk jauh namun ada shuttle gratis","pintu","B-CLAUSE"
25,"pintu masuk jauh namun ada shuttle gratis","masuk","I-CLAUSE"
25,"pintu masuk jauh namun ada shuttle gratis","jauh","I-CLAUSE"
25,"pintu masuk jauh namun ada shuttle gratis","namun","O"
25,"pintu masuk jauh namun ada shuttle gratis","ada","B-CLAUSE"
25,"pintu masuk jauh namun ada shuttle gratis","shuttle","I-CLAUSE"
25,"pintu masuk jauh namun ada shuttle gratis","gratis","I-CLAUSE"
26,"cuaca cerah, angin sepoi tetapi panas","cuaca","B-CLAUSE"
26,"cuaca cerah, angin sepoi tetapi panas","cerah","I-CLAUSE"
26,"cuaca cerah, angin sepoi tetapi panas",",","O"
26,"cuaca cerah, angin sepoi tetapi panas","angin","B-CLAUSE"
26,"cuaca cerah, angin sepoi tetapi panas","sepoi","I-CLAUSE"
26,"cuaca cerah, angin sepoi tetapi panas","tetapi","O"
26,"cuaca cerah, angin sepoi tetapi panas","panas","B-CLAUSE"
27,"resto enak namun antri lama","resto","B-CLAUSE"
27,"resto enak namun antri lama","enak","I-CLAUSE"
27,"resto enak namun antri lama","namun","O"
27,"resto enak namun antri lama","antri","B-CLAUSE"
27,"resto enak namun antri lama","lama","I-CLAUSE"
28,"gazebo tersedia tetapi terbatas","gazebo","B-CLAUSE"
28,"gazebo tersedia tetapi terbatas","tersedia","I-CLAUSE"
28,"gazebo tersedia tetapi terbatas","tetapi","O"
28,"gazebo tersedia tetapi terbatas","terbatas","B-CLAUSE"
29,"area parkir luas dan aman","area","B-CLAUSE"
29,"area parkir luas dan aman","parkir","I-CLAUSE"
29,"area parkir luas dan aman","luas","I-CLAUSE"
29,"area parkir luas dan aman","dan","O"
29,"area parkir luas dan aman","aman","B-CLAUSE"
30,"musala bersih, tapi kecil","musala","B-CLAUSE"
30,"musala bersih, tapi kecil","bersih","I-CLAUSE"
30,"musala bersih, tapi kecil",",","O"
30,"musala bersih, tapi kecil","tapi","O"
30,"musala bersih, tapi kecil","kecil","B-CLAUSE"
31,"camping ground luas namun licin","camping","B-CLAUSE"
31,"camping ground luas namun licin","ground","I-CLAUSE"
31,"camping ground luas namun licin","luas","I-CLAUSE"
31,"camping ground luas namun licin","namun","O"
31,"camping ground luas namun licin","licin","B-CLAUSE"
32,"sungai jernih tetapi dalam","sungai","B-CLAUSE"
32,"sungai jernih tetapi dalam","jernih","I-CLAUSE"
32,"sungai jernih tetapi dalam","tetapi","O"
32,"sungai jernih tetapi dalam","dalam","B-CLAUSE"
33,"taman bermain lengkap, anak senang","taman","B-CLAUSE"
33,"taman bermain lengkap, anak senang","bermain","I-CLAUSE"
33,"taman bermain lengkap, anak senang","lengkap","I-CLAUSE"
33,"taman bermain lengkap, anak senang",",","O"
33,"taman bermain lengkap, anak senang","anak","B-CLAUSE"
33,"taman bermain lengkap, anak senang","senang","I-CLAUSE"
34,"tracking seru namun melelahkan","tracking","B-CLAUSE"
34,"tracking seru namun melelahkan","seru","I-CLAUSE"
34,"tracking seru namun melelahkan","namun","O"
34,"tracking seru namun melelahkan","melelahkan","B-CLAUSE"
35,"pintu gerbang megah dan instagramable","pintu","B-CLAUSE"
35,"pintu gerbang megah dan instagramable","gerbang","I-CLAUSE"
35,"pintu gerbang megah dan instagramable","megah","I-CLAUSE"
35,"pintu gerbang megah dan instagramable","dan","O"
35,"pintu gerbang megah dan instagramable","instagramable","B-CLAUSE"
36,"loket ramai, proses cepat","loket","B-CLAUSE"
36,"loket ramai, proses cepat","ramai","I-CLAUSE"
36,"loket ramai, proses cepat",",","O"
36,"loket ramai, proses cepat","proses","B-CLAUSE"
36,"loket ramai, proses cepat","cepat","I-CLAUSE"
37,"playground aman tetapi panas","playground","B-CLAUSE"
37,"playground aman tetapi panas","aman","I-CLAUSE"
37,"playground aman tetapi panas","tetapi","O"
37,"playground aman tetapi panas","panas","B-CLAUSE"
38,"jembatan kokoh namun sempit","jembatan","B-CLAUSE"
38,"jembatan kokoh namun sempit","kokoh","I-CLAUSE"
38,"jembatan kokoh namun sempit","namun","O"
38,"jembatan kokoh namun sempit","sempit","B-CLAUSE"
39,"udara sejuk, pemandangan hijau dan tenang","udara","B-CLAUSE"
39,"udara sejuk, pemandangan hijau dan tenang","sejuk","I-CLAUSE"
39,"udara sejuk, pemandangan hijau dan tenang",",","O"
39,"udara sejuk, pemandangan hijau dan tenang","pemandangan","B-CLAUSE"
39,"udara sejuk, pemandangan hijau dan tenang","hijau","I-CLAUSE"
39,"udara sejuk, pemandangan hijau dan tenang","dan","O"
39,"udara sejuk, pemandangan hijau dan tenang","tenang","B-CLAUSE"
40,"air terjun tinggi tetapi sulit dijangkau","air","B-CLAUSE"
40,"air terjun tinggi tetapi sulit dijangkau","terjun","I-CLAUSE"
40,"air terjun tinggi tetapi sulit dijangkau","tinggi","I-CLAUSE"
40,"air terjun tinggi tetapi sulit dijangkau","tetapi","O"
40,"air terjun tinggi tetapi sulit dijangkau","sulit","B-CLAUSE"
40,"air terjun tinggi tetapi sulit dijangkau","dijangkau","I-CLAUSE"
41,"wifi gratis namun sinyal lemah","wifi","B-CLAUSE"
41,"wifi gratis namun sinyal lemah","gratis","I-CLAUSE"
41,"wifi gratis namun sinyal lemah","namun","O"
41,"wifi gratis namun sinyal lemah","sinyal","B-CLAUSE"
41,"wifi gratis namun sinyal lemah","lemah","I-CLAUSE"
42,"tiket masuk terjangkau, wahana seru","tiket","B-CLAUSE"
42,"tiket masuk terjangkau, wahana seru","masuk","I-CLAUSE"
42,"tiket masuk terjangkau, wahana seru","terjangkau","I-CLAUSE"
42,"tiket masuk terjangkau, wahana seru",",","O"
42,"tiket masuk terjangkau, wahana seru","wahana","B-CLAUSE"
42,"tiket masuk terjangkau, wahana seru","seru","I-CLAUSE"
43,"mushola ada tetapi jauh","mushola","B-CLAUSE"
43,"mushola ada tetapi jauh","ada","I-CLAUSE"
43,"mushola ada tetapi jauh","tetapi","O"
43,"mushola ada tetapi jauh","jauh","B-CLAUSE"
44,"jogging track panjang dan teduh","jogging","B-CLAUSE"
44,"jogging track panjang dan teduh","track","I-CLAUSE"
44,"jogging track panjang dan teduh","panjang","I-CLAUSE"
44,"jogging track panjang dan teduh","dan","O"
44,"jogging track panjang dan teduh","teduh","B-CLAUSE"
45,"sarana lengkap, harga bersaing namun ramai","sarana","B-CLAUSE"
45,"sarana lengkap, harga bersaing namun ramai","lengkap","I-CLAUSE"
45,"sarana lengkap, harga bersaing namun ramai",",","O"
45,"sarana lengkap, harga bersaing namun ramai","harga","B-CLAUSE"
45,"sarana lengkap, harga bersaing namun ramai","bersaing","I-CLAUSE"
45,"sarana lengkap, harga bersaing namun ramai","namun","O"
45,"sarana lengkap, harga bersaing namun ramai","ramai","B-CLAUSE"
46,"pemandu wisata profesional dan informatif","pemandu","B-CLAUSE"
46,"pemandu wisata profesional dan informatif","wisata","I-CLAUSE"
46,"pemandu wisata profesional dan informatif","profesional","I-CLAUSE"
46,"pemandu wisata profesional dan informatif","dan","O"
46,"pemandu wisata profesional dan informatif","informatif","B-CLAUSE"
47,"jalan setapak rusak namun aman","jalan","B-CLAUSE"
47,"jalan setapak rusak namun aman","setapak","I-CLAUSE"
47,"jalan setapak rusak namun aman","rusak","I-CLAUSE"
47,"jalan setapak rusak namun aman","namun","O"
47,"jalan setapak rusak namun aman","aman","B-CLAUSE"
48,"kebersihan terjaga, sampah minim tetapi butuh perbaikan","kebersihan","B-CLAUSE"
48,"kebersihan terjaga, sampah minim tetapi butuh perbaikan","terjaga","I-CLAUSE"
48,"kebersihan terjaga, sampah minim tetapi butuh perbaikan",",","O"
48,"kebersihan terjaga, sampah minim tetapi butuh perbaikan","sampah","B-CLAUSE"
48,"kebersihan terjaga, sampah minim tetapi butuh perbaikan","minim","I-CLAUSE"
48,"kebersihan terjaga, sampah minim tetapi butuh perbaikan","tetapi","O"
48,"kebersihan terjaga, sampah minim tetapi butuh perbaikan","butuh","B-CLAUSE"
48,"kebersihan terjaga, sampah minim tetapi butuh perbaikan","perbaikan","I-CLAUSE"
49,"lokasi tersembunyi tetapi worth it","lokasi","B-CLAUSE"
49,"lokasi tersembunyi tetapi worth it","tersembunyi","I-CLAUSE"
49,"lokasi tersembunyi tetapi worth it","tetapi","O"
49,"lokasi tersembunyi tetapi worth it","worth","B-CLAUSE"
49,"lokasi tersembunyi tetapi worth it","it","I-CLAUSE"
50,"Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekomendasi mending di kalijompo","ga","B-CLAUSE"
50,"Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekom
50,Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekomendasi mending di kalijompo""","it","I-CLAUSE"
50,"Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekomendasi mending di kalijompo","orang","I-CLAUSE"
50,"Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekomendasi mending di kalijompo","6","I-CLAUSE"
50,"Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekomendasi mending di kalijompo","dewasa","I-CLAUSE"
50,"Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekomendasi mending di kalijompo","kenak","I-CLAUSE"
50,"Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekomendasi mending di kalijompo","56","I-CLAUSE"
50,"Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekomendasi mending di kalijompo","anak","I-CLAUSE"
50,"Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekomendasi mending di kalijompo","kecil","I-CLAUSE"
50,"Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekomendasi mending di kalijompo","di","I-CLAUSE"
50,"Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekomendasi mending di kalijompo","itung","I-CLAUSE"
50,"Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekomendasi mending di kalijompo","juga","I-CLAUSE"
50,"Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekomendasi mending di kalijompo","sangattt","I-CLAUSE"
50,"Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekomendasi mending di kalijompo","burukk","I-CLAUSE"
50,"Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekomendasi mending di kalijompo","ga","B-CLAUSE"
50,"Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekomendasi mending di kalijompo","bisa","I-CLAUSE"
50,"Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekomendasi mending di kalijompo","buat","I-CLAUSE"
50,"Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekomendasi mending di kalijompo","mandi","I-CLAUSE"
50,"Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekomendasi mending di kalijompo","atau","O"
50,"Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekomendasi mending di kalijompo","renang","B-CLAUSE"
50,"Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekomendasi mending di kalijompo","ga","B-CLAUSE"
50,"Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekomendasi mending di kalijompo","rekomendasi","I-CLAUSE"
50,"Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekomendasi mending di kalijompo","mending","I-CLAUSE"
50,"Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekomendasi mending di kalijompo","di","I-CLAUSE"
50,"Ga wort it orang 6 dewasa kenak 56 anak kecil di itung juga sangattt burukk ga wort itti ga bisa buat mandi atau renang ga rekomendasi mending di kalijompo","kalijompo","I-CLAUSE"
51,"Padahal ga mau masuk ke lokasi wisatanya malah tetep disuruh bayar","padahal","B-CLAUSE"
51,"Padahal ga mau masuk ke lokasi wisatanya malah tetep disuruh bayar","ga","I-CLAUSE"
51,"Padahal ga mau masuk ke lokasi wisatanya malah tetep disuruh bayar","mau","I-CLAUSE"
51,"Padahal ga mau masuk ke lokasi wisatanya malah tetep disuruh bayar","masuk","I-CLAUSE"
51,"Padahal ga mau masuk ke lokasi wisatanya malah tetep disuruh bayar","ke","I-CLAUSE"
51,"Padahal ga mau masuk ke lokasi wisatanya malah tetep disuruh bayar","lokasi","I-CLAUSE"
51,"Padahal ga mau masuk ke lokasi wisatanya malah tetep disuruh bayar","wisatanya","I-CLAUSE"
51,"Padahal ga mau masuk ke lokasi wisatanya malah tetep disuruh bayar","malah","I-CLAUSE"
51,"Padahal ga mau masuk ke lokasi wisatanya malah tetep disuruh bayar","tetep","I-CLAUSE"
51,"Padahal ga mau masuk ke lokasi wisatanya malah tetep disuruh bayar","disuruh","I-CLAUSE"
51,"Padahal ga mau masuk ke lokasi wisatanya malah tetep disuruh bayar","bayar","I-CLAUSE"
52,"Berlibur murah meriah, saya merasa terganggu dgn musik yg hingar bingar dan berisik","berlibur","B-CLAUSE"
52,"Berlibur murah meriah, saya merasa terganggu dgn musik yg hingar bingar dan berisik","murah","I-CLAUSE"
52,"Berlibur murah meriah, saya merasa terganggu dgn musik yg hingar bingar dan berisik","meriah","I-CLAUSE"
52,"Berlibur murah meriah, saya merasa terganggu dgn musik yg hingar bingar dan berisik",",","O"
52,"Berlibur murah meriah, saya merasa terganggu dgn musik yg hingar bingar dan berisik","saya","B-CLAUSE"
52,"Berlibur murah meriah, saya merasa terganggu dgn musik yg hingar bingar dan berisik","merasa","I-CLAUSE"
52,"Berlibur murah meriah, saya merasa terganggu dgn musik yg hingar bingar dan berisik","terganggu","I-CLAUSE"
52,"Berlibur murah meriah, saya merasa terganggu dgn musik yg hingar bingar dan berisik","dgn","I-CLAUSE"
52,"Berlibur murah meriah, saya merasa terganggu dgn musik yg hingar bingar dan berisik","musik","I-CLAUSE"
52,"Berlibur murah meriah, saya merasa terganggu dgn musik yg hingar bingar dan berisik","yg","I-CLAUSE"
52,"Berlibur murah meriah, saya merasa terganggu dgn musik yg hingar bingar dan berisik","hingar","I-CLAUSE"
52,"Berlibur murah meriah, saya merasa terganggu dgn musik yg hingar bingar dan berisik","bingar","I-CLAUSE"
52,"Berlibur murah meriah, saya merasa terganggu dgn musik yg hingar bingar dan berisik","dan","O"
52,"Berlibur murah meriah, saya merasa terganggu dgn musik yg hingar bingar dan berisik","berisik","B-CLAUSE"
53,"Tempatnya bagus, cuman jalan menuju ksana masih harus lebih d perhatikan lagi","tempatnya","B-CLAUSE"
53,"Tempatnya bagus, cuman jalan menuju ksana masih harus lebih d perhatikan lagi","bagus","I-CLAUSE"
53,"Tempatnya bagus, cuman jalan menuju ksana masih harus lebih d perhatikan lagi",",","O"
53,"Tempatnya bagus, cuman jalan menuju ksana masih harus lebih d perhatikan lagi","cuman","O"
53,"Tempatnya bagus, cuman jalan menuju ksana masih harus lebih d perhatikan lagi","jalan","B-CLAUSE"
53,"Tempatnya bagus, cuman jalan menuju ksana masih harus lebih d perhatikan lagi","menuju","I-CLAUSE"
53,"Tempatnya bagus, cuman jalan menuju ksana masih harus lebih d perhatikan lagi","ksana","I-CLAUSE"
53,"Tempatnya bagus, cuman jalan menuju ksana masih harus lebih d perhatikan lagi","masih","I-CLAUSE"
53,"Tempatnya bagus, cuman jalan menuju ksana masih harus lebih d perhatikan lagi","harus","I-CLAUSE"
53,"Tempatnya bagus, cuman jalan menuju ksana masih harus lebih d perhatikan lagi","lebih","I-CLAUSE"
53,"Tempatnya bagus, cuman jalan menuju ksana masih harus lebih d perhatikan lagi","d","I-CLAUSE"
53,"Tempatnya bagus, cuman jalan menuju ksana masih harus lebih d perhatikan lagi","perhatikan","I-CLAUSE"
53,"Tempatnya bagus, cuman jalan menuju ksana masih harus lebih d perhatikan lagi","lagi","I-CLAUSE"
54,"Tiket masuk @Rp 8rb mungkin terlalu mahal dg fasilitas yg belum sempurna","tiket","B-CLAUSE"
54,"Tiket masuk @Rp 8rb mungkin terlalu mahal dg fasilitas yg belum sempurna","masuk","I-CLAUSE"
54,"Tiket masuk @Rp 8rb mungkin terlalu mahal dg fasilitas yg belum sempurna","@","I-CLAUSE"
54,"Tiket masuk @Rp 8rb mungkin terlalu mahal dg fasilitas yg belum sempurna","rp","I-CLAUSE"
54,"Tiket masuk @Rp 8rb mungkin terlalu mahal dg fasilitas yg belum sempurna","8","I-CLAUSE"
54,"Tiket masuk @Rp 8rb mungkin terlalu mahal dg fasilitas yg belum sempurna","rb","I-CLAUSE"
54,"Tiket masuk @Rp 8rb mungkin terlalu mahal dg fasilitas yg belum sempurna","mungkin","I-CLAUSE"
54,"Tiket masuk @Rp 8rb mungkin terlalu mahal dg fasilitas yg belum sempurna","terlalu","I-CLAUSE"
54,"Tiket masuk @Rp 8rb mungkin terlalu mahal dg fasilitas yg belum sempurna","mahal","I-CLAUSE"
54,"Tiket masuk @Rp 8rb mungkin terlalu mahal dg fasilitas yg belum sempurna","dg","I-CLAUSE"
54,"Tiket masuk @Rp 8rb mungkin terlalu mahal dg fasilitas yg belum sempurna","fasilitas","I-CLAUSE"
54,"Tiket masuk @Rp 8rb mungkin terlalu mahal dg fasilitas yg belum sempurna","yg","I-CLAUSE"
